date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-01-23,3.3122409027340365,2.282304871939291,4.394328664345572,28809285342
2025-01-24,-2.10416442598641,-3.1699998064540726,-1.040986794389656,28809285342
2025-01-25,-2.614472139488777,-3.629452444531118,-1.636793298694675,28809285342
2025-01-26,-1.3745146598492315,-2.4083805837548122,-0.34623707383418517,28809285342
2025-01-27,-0.5232930085192546,-1.6044105235174684,0.48079101660043566,28809285342
2025-01-28,-7.034683112778948,-8.107655891571863,-6.04365087505906,28809285342
2025-01-29,-0.6513938780555485,-1.698915207535291,0.3432204576127796,28809285342
2025-01-30,3.285018769047628,2.3140955503300216,4.3145367592959465,28809285342
2025-01-31,-2.131386559656644,-3.1260859295132,-1.161828062179286,28809285342
2025-02-01,-2.64169427317398,-3.809538391277038,-1.6065053974750618,28809285342
2025-02-02,-1.401736793534194,-2.429119748590312,-0.3623501475367484,28809285342
2025-02-03,-0.5505151422121373,-1.522739975655614,0.43380882009477695,28809285342
2025-02-04,-7.061905246472017,-8.01257293364199,-6.049938937407146,28809285342
2025-02-05,-0.6786160117616004,-1.6749304474500726,0.4370663080543956,28809285342
2025-02-06,3.2577966353612178,2.2326703012329396,4.295602692739519,28809285342
2025-02-07,-2.1586086933423627,-3.2217400999371106,-1.1570454007279674,28809285342
2025-02-08,-2.6689164068652538,-3.5869121904229284,-1.6685942812204622,28809285342
2025-02-09,-1.428958927222948,-2.3639355630316063,-0.300716804926392,28809285342
2025-02-10,-0.5777372759050201,-1.6055768578387122,0.4692174792889999,28809285342
2024-08-05,1.0,0.9999999987345152,1.0000000012546144,28809472364
2024-08-06,1.0,0.9999999987359757,1.0000000012882326,28809472364
2024-08-07,1.0,0.9999999987616582,1.0000000013655366,28809472364
2024-08-08,1.0,0.9999999988226089,1.0000000012741947,28809472364
2024-08-09,1.0,0.9999999987281458,1.0000000012983827,28809472364
2024-08-10,1.0,0.9999999987823232,1.0000000012641364,28809472364
2024-08-11,1.0,0.9999999986519453,1.0000000012120405,28809472364
2024-08-12,1.0,0.9999999986824188,1.0000000012919947,28809472364
2024-08-13,1.0,0.9999999986981111,1.0000000013081776,28809472364
2024-08-14,1.0,0.9999999987315581,1.0000000012687744,28809472364
2024-08-15,1.0,0.9999999987575299,1.0000000011646084,28809472364
2024-08-16,1.0,0.9999999987461479,1.0000000013213037,28809472364
2024-08-17,1.0,0.9999999987313672,1.0000000012581178,28809472364
2024-08-18,1.0,0.9999999986001836,1.0000000012846164,28809472364
2024-08-19,1.0,0.9999999988264786,1.000000001339867,28809472364
2024-08-20,1.0,0.9999999986649493,1.0000000013117956,28809472364
2024-08-21,1.0,0.9999999987319304,1.0000000013180317,28809472364
2024-08-22,1.0,0.9999999987125868,1.000000001390256,28809472364
2024-08-23,1.0,0.9999999987157433,1.000000001321457,28809472364
2024-08-24,1.0,0.9999999987143317,1.000000001324966,28809472364
2024-08-25,1.0,0.999999998648933,1.0000000014072477,28809472364
2024-08-26,1.0,0.9999999986617257,1.000000001300944,28809472364
2024-08-27,1.0,0.9999999986283714,1.0000000013197465,28809472364
2024-08-28,1.0,0.9999999985600322,1.0000000012733872,28809472364
2024-08-29,1.0,0.9999999987151751,1.0000000014066,28809472364
2024-08-30,1.0,0.9999999986213959,1.0000000013854857,28809472364
2024-08-31,1.0,0.9999999985664296,1.0000000014748247,28809472364
2024-09-01,1.0,0.9999999986646796,1.0000000013553656,28809472364
2024-12-03,2.939687806100816,1.9038137691116879,4.094794009169153,28809487326
2024-12-04,2.9475369375304505,1.8146781302188746,3.946880631712105,28809487326
2024-12-05,2.9553860689600846,1.8379904209959732,4.043106286235556,28809487326
2024-12-06,2.963235200389718,1.8173776215422337,4.170195500099031,28809487326
2024-12-07,2.9710843318193523,1.8133265537041754,4.099509527508116,28809487326
2024-12-08,2.9789334632489863,1.945355326793294,4.1012305212647675,28809487326
2024-12-09,2.986782594678621,1.8558807092439165,4.130675279929645,28809487326
2024-12-10,2.994631726108255,1.8466831974643636,4.114179893286084,28809487326
2024-12-11,3.002480857537889,1.962122364993509,4.163172640675395,28809487326
2024-12-12,3.0103299889675226,1.8992703369927104,4.111706907436174,28809487326
2024-12-13,3.0181791203971566,1.886822485057901,4.07754937482036,28809487326
2024-12-14,3.026028251826791,1.8947020898053728,4.11216116246793,28809487326
2024-12-15,3.033877383256425,1.9200622959217912,4.058212268834359,28809487326
2024-12-16,3.0417265146860593,1.9621993651094025,4.176807609124509,28809487326
2024-12-17,3.0495756461156938,1.8287032201774753,4.208487683468646,28809487326
2024-12-18,3.057424777545328,1.9590221929726812,4.178806723473807,28809487326
2024-12-19,3.0652739089749614,1.9730731142586375,4.08405605654261,28809487326
2024-12-20,3.0731230404045955,1.9885846129937903,4.229758586460843,28809487326
2024-12-21,3.0809721718342296,1.915554564542155,4.166107582729348,28809487326
2024-12-22,3.088821303263864,1.9420555616791597,4.1826663583715105,28809487326
2024-12-23,3.096670434693498,2.0597225814955906,4.233394042469342,28809487326
2024-12-24,3.104519566123132,1.9302931924601832,4.176461989102106,28809487326
2024-12-25,3.112368697552766,1.9134965734573388,4.192082551893117,28809487326
2024-12-26,3.1202178289824003,2.0569004480933257,4.297169806302416,28809487326
2024-12-27,3.1280669604120344,2.0365481713248763,4.252407477011054,28809487326
2024-12-28,3.1359160918416684,2.0274708358220197,4.273911546102275,28809487326
2024-12-29,3.1437652232713025,2.058332635069742,4.232834844924754,28809487326
2024-12-30,3.151614354700937,2.0215199509422206,4.257491199301984,28809487326
2024-07-30,1.0,0.999999998664116,1.0000000012121142,28809487836
2024-07-31,1.0,0.9999999987562771,1.0000000013068517,28809487836
2024-08-01,1.0,0.9999999987413626,1.0000000012775054,28809487836
2024-08-02,1.0,0.9999999988104947,1.0000000012106929,28809487836
2024-08-03,1.0,0.9999999987159612,1.0000000013733674,28809487836
2024-08-04,1.0,0.9999999986556372,1.000000001275645,28809487836
2024-08-05,1.0,0.9999999987334824,1.0000000012715304,28809487836
2024-08-06,1.0,0.9999999985739367,1.000000001259194,28809487836
2024-08-07,1.0,0.9999999987908796,1.0000000012573855,28809487836
2024-08-08,1.0,0.9999999987352973,1.0000000013491852,28809487836
