ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-17,1.05120170841402,15766844963,1,0.0,0.0,0.0,0.05120170841401994,0.05120170841401994,0.0
2025-02-24,1.8937885861712784,15766844963,1,4799.7,4799.7,9089.617077046285,0.8937885861712784,0.8937885861712784,4289.917077046285
2025-02-17,0.3434308860197647,45132580164,0,0.0,0.0,0.0,0.3434308860197647,,0.0
2025-02-24,0.4324973659592834,45132580164,0,0.0,0.0,0.0,0.4324973659592834,,0.0
2025-02-17,1.5500170441270469,45132656942,0,0.0,0.0,0.0,1.5500170441270469,,0.0
2025-02-24,1.2069707337083264,45132656942,2,4019.4,2009.7,2425.6490835336235,0.7930292662916736,0.3965146331458368,3187.5018329327527
2025-02-17,-4.581750617039974,9629394497,0,0.0,0.0,-0.0,4.581750617039974,,0.0
2025-02-24,-1.7939878683621369,9629394497,0,0.0,0.0,-0.0,1.7939878683621369,,0.0
2025-02-17,0.24111609576681858,4723833696,0,675.342,0.0,0.0,0.24111609576681858,,162.83582634735478
2025-02-24,0.7146464836135095,4723833696,2,0.0,0.0,0.0,1.2853535163864906,0.6426767581932453,0.0
2025-02-17,0.8550742884915035,4723910471,1,0.0,0.0,0.0,0.14492571150849654,0.14492571150849654,0.0
2025-02-24,1.096737223284861,4723910471,1,813.6,813.6,892.3054048645629,0.0967372232848609,0.0967372232848609,78.70540486456282
2025-02-17,0.9194559080880347,4723938440,0,390.6,0.0,0.0,0.9194559080880347,,359.1394776991864
2025-02-24,1.2790569233148859,4723938440,0,0.0,0.0,0.0,1.2790569233148859,,0.0
2025-02-17,0.898569402809267,4724133655,0,0.0,0.0,0.0,0.898569402809267,,0.0
2025-02-24,0.4305895849078123,4724133655,2,0.0,0.0,0.0,1.5694104150921877,0.7847052075460939,0.0
2025-02-17,0.7996444905927078,45290923710,0,0.0,0.0,0.0,0.7996444905927078,,0.0
2025-02-24,0.38780047360447556,45290923710,1,0.0,0.0,0.0,0.6121995263955244,0.6121995263955244,0.0
2025-02-17,0.08702897439633472,45386498618,0,0.0,0.0,0.0,0.08702897439633472,,0.0
2025-02-24,0.10994410047080427,45386498618,0,0.0,0.0,0.0,0.10994410047080427,,0.0
2025-02-17,0.07258337360077256,45386576968,0,0.0,0.0,0.0,0.07258337360077256,,0.0
2025-02-24,0.11833976550675936,45386576968,0,0.0,0.0,0.0,0.11833976550675936,,0.0
2025-02-17,0.017089999262328813,45386581155,0,0.0,0.0,0.0,0.017089999262328813,,0.0
2025-02-24,0.0295749944924465,45386581155,0,0.0,0.0,0.0,0.0295749944924465,,0.0
